,age,1960,1960,2023,2023
gender,,female,male,female,male
0,00-04,-10.48067678,10.78184486,-5.574326622,5.966724922
1,05-09,-9.91193809,10.1402285,-5.862371841,6.276601226
2,10-14,-9.396905146,9.665173782,-5.943781724,6.343711325
3,15-19,-7.363434685,7.571251954,-5.733757752,6.114840867
4,20-24,-6.379235296,6.652719182,-5.975466585,6.332740197
5,25-29,-6.155846093,6.588334336,-6.997493087,7.388356202
6,30-34,-6.966265578,7.480784125,-7.511476089,7.608281439
7,35-39,-7.238419249,7.474713169,-7.381573416,7.31292541
8,40-44,-6.406918267,6.437137703,-6.686223322,6.713774608
9,45-49,-6.216025611,6.380190018,-6.127936363,6.142205855
10,50-54,-5.172373652,5.477493686,-6.41348331,6.242511139
11,55-59,-4.40864585,4.457457607,-5.850098372,5.677465656
12,60-64,-4.049523638,3.566932051,-5.780458548,5.58497078
13,65-69,-3.606389796,2.885782321,-5.127090707,4.856199961
14,70-74,-2.818731646,2.211588695,-4.455070348,4.21561706
15,75-79,-1.809344486,1.280288635,-3.598008745,3.384922516
16,80+,-1.619326133,0.948079375,-4.981383172,3.838150837
