,age,female,male
0,80+,-0.490303819,0.577104325
1,75-79,-0.542560103,0.710185113
2,70-74,-0.755369886,1.039183525
3,65-69,-0.909888405,1.291012523
4,60-64,-1.238155551,1.581999011
5,55-59,-1.576728194,1.995782239
6,50-54,-1.99558398,2.472285142
7,45-49,-2.711419628,3.236650264
8,40-44,-3.577158059,3.987164467
9,35-39,-4.644288396,4.755083444
10,30-34,-6.091494654,5.588586008
11,25-29,-8.050664174,6.557421438
12,20-24,-9.402768343,7.300736806
13,15-19,-10.09732813,9.240815955
14,10-14,-12.00796208,13.15978026
15,05-09,-14.84369976,14.96802833
16,00-04,-21.06462684,21.53818116
